Location,Station,Date,Time,Temperature_F,DewPoint_F,Humidity_Percentage,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precipitation_in,Condition,Data Collection Source
"San Francisco, CA",San Francisco International Airport Station,7/3/21,2:56 PM,71 °F,55 °F,57 %,WNW,20 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,3:56 PM,70 °F,54 °F,57 %,W,21 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy / Windy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,4:56 PM,70 °F,54 °F,57 %,W,20 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,5:56 PM,68 °F,54 °F,61 %,WNW,20 mph,26 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,6:56 PM,66 °F,54 °F,65 %,W,18 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,7:56 PM,65 °F,53 °F,65 %,WNW,16 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,8:56 PM,62 °F,53 °F,72 %,W,14 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,9:56 PM,63 °F,53 °F,70 %,W,8 mph,0 mph,29.94 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,10:56 PM,62 °F,54 °F,75 %,WNW,9 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/3/21,11:56 PM,61 °F,53 °F,75 %,WNW,10 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,12:29 AM,61 °F,54 °F,78 %,W,10 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,12:56 AM,61 °F,54 °F,78 %,WNW,8 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,12:59 AM,61 °F,54 °F,78 %,WNW,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,1:41 AM,61 °F,53 °F,75 %,WSW,8 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,1:56 AM,61 °F,54 °F,78 %,W,6 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,2:56 AM,62 °F,54 °F,75 %,WSW,6 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,3:32 AM,61 °F,53 °F,75 %,W,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,3:47 AM,62 °F,53 °F,72 %,SSW,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,3:56 AM,62 °F,53 °F,72 %,W,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,4:28 AM,61 °F,53 °F,75 %,SW,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,4:46 AM,61 °F,53 °F,75 %,SSW,3 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,4:56 AM,61 °F,53 °F,75 %,SW,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,5:04 AM,61 °F,53 °F,75 %,WSW,3 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,5:56 AM,62 °F,52 °F,70 %,SW,5 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,6:56 AM,61 °F,52 °F,72 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,7:56 AM,62 °F,52 °F,70 %,S,6 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
"San Francisco, CA",San Francisco International Airport Station,7/4/21,8:56 AM,66 °F,53 °F,63 %,SSW,6 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,Weather Underground
