Location,Station,Date,Time,Temperature (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation (in),Condition,Data Collection Source
"New York City, NY",Laguardia Airport Station,7/4/21,5:51 PM,75 °F,59 °F,57 %,SSE,12 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,6:51 PM,75 °F,59 °F,57 %,SSE,10 mph,0 mph,29.90 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,7:51 PM,74 °F,59 °F,59 %,S,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,8:51 PM,73 °F,60 °F,64 %,SSE,7 mph,0 mph,29.93 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,9:51 PM,72 °F,61 °F,68 %,SSE,7 mph,0 mph,29.95 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,10:51 PM,72 °F,63 °F,73 %,ESE,5 mph,0 mph,29.96 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/4/21,11:51 PM,71 °F,63 °F,75 %,E,6 mph,0 mph,29.97 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,12:51 AM,70 °F,63 °F,78 %,E,3 mph,0 mph,29.97 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,1:51 AM,70 °F,63 °F,78 %,E,3 mph,0 mph,29.97 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,2:51 AM,69 °F,63 °F,81 %,ENE,3 mph,0 mph,29.97 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,3:51 AM,68 °F,64 °F,87 %,ENE,6 mph,0 mph,29.98 in,0.0 in,Fog,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,4:25 AM,68 °F,63 °F,84 %,ENE,5 mph,0 mph,29.98 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,4:51 AM,67 °F,63 °F,87 %,NE,5 mph,0 mph,29.98 in,0.0 in,Fog,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,5:51 AM,67 °F,63 °F,87 %,NE,3 mph,0 mph,29.99 in,0.0 in,Fog,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,6:09 AM,67 °F,64 °F,90 %,NE,5 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,6:51 AM,68 °F,63 °F,84 %,ENE,6 mph,0 mph,30.01 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,7:51 AM,70 °F,64 °F,81 %,ENE,9 mph,0 mph,30.02 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,8:51 AM,71 °F,65 °F,81 %,NE,10 mph,0 mph,30.04 in,0.0 in,Haze,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,9:51 AM,73 °F,64 °F,73 %,ENE,9 mph,0 mph,30.04 in,0.0 in,Fair,Weather Underground
"New York City, NY",Laguardia Airport Station,7/5/21,10:51 AM,74 °F,64 °F,71 %,NE,13 mph,0 mph,30.05 in,0.0 in,Fair,Weather Underground
